average_rate_per_night,bedrooms_count,city,date_of_listing,description,title,url
$28.00,1,Manor,December 2014,"Private bedroom upstairs in our new house. The room features a queen sized bed and a twin sized bed, TV with Netflix, a desk and a full bathroom. There is also a mini fridge, microwave and a water cooler in the room for your private use.\n\nOur house is in the city of Manor, just outside of the Austin City Limits. We are a 15-20 minute drive to any part of Austin (downtown, airport, COTA, Round Rock, etc.) with easy access to downtown via the 290. We live in a very safe and quiet neighborhood.",Clean Bedroom and Bath Near Austin City Limit,https://www.airbnb.com/rooms/6747542?location=Coupland%2C%20TX
$150.00,Studio,Port Aransas,May 2017,"Family friendly 37 ft. RV in Port A Rv Resort. Situated on well lit lot, close to office and pool that you can use. Surrounded by great neighbors. Wifi and cable. Key would be received from neighbor. Professionally cleaned after every tenant.",Yakono R & R,https://www.airbnb.com/rooms/18872227?location=Corpus%20Christi%2C%20TX
$165.00,3,Crandall,June 2015,"Large, mostly open space made comfy and homey, on 80 rolling acres with a fabulous view of the sky, working airport with peace and quiet of the country with easy access to Dallas, 1/2 mile down a rock road. Whole-house filtered/UV rainwater system.","Cozy Airplane Hangar, Gorgeous View",https://www.airbnb.com/rooms/6953113?location=Corsicana%2C%20TX
$185.00,4,Waxahachie,December 2014,"Our family friendly acred lot with game room and shaded picnic areas is a relaxing base +/- 20 minutes from downtown Dallas in the Crepe Myrtle festival town of Waxahachie, which is also known for its gingerbread houses and college town feel, near Scarborough fair.",Spacious Country Manor!,https://www.airbnb.com/rooms/19197344?location=Corsicana%2C%20TX
$645.00,5,Malakoff,February 2016,"Wonderful home on Cedar Creek Lake. Home has large deck, boat dock and party deck. Great neighborhood. Kayak and paddle boards are free to use. Grill on deck.",Lake house with open water,https://www.airbnb.com/rooms/11158333?location=Corsicana%2C%20TX
$85.00,1,Irving,December 2016,"Our small apartment is a great resting place for anyone passing through, looking for job opportunities or visiting the area. We are happy to welcome you into our home and make sure your space is respected, you have easy access to food and your stay in Irving goes smoothly.",Sharing Apartment Space,https://www.airbnb.com/rooms/16350309?location=Coppell%2C%20TX
$68.00,2,Round Rock,March 2012,"The is the first floor of my home with two bedrooms with 1 shared bathroom. I do not have Cable TV but do have new TV, Blu-Ray DVD player, \",Cozy Home Near Austin!,https://www.airbnb.com/rooms/534676?location=Coupland%2C%20TX
$60.00,1,Pflugerville,September 2014,"This is a single family home and our primary residence. The house itself is a 4 bedroom, 2.5 bath two-story that is only a year old and is kept very clean. The guest suite is on the 2nd floor and consists of 1 bdrm, private bath, and sitting area.",1 Bedroom Guest Suite,https://www.airbnb.com/rooms/10860565?location=Coupland%2C%20TX
$181.00,3,Pflugerville,November 2016,"Check out all Summer events Austin has to offer. My place is North Austin without all the party noises. HEB and restaurants about 5 mins from the house for last minute items. \n \n\nUber and Lyft is back in Austin. It'll be easy to be at your favorite venue.\n6/8 - 6/11/17 Republic of Texas Biker Rally\nThe state's largest motorcycle gathering attracts thousands of bikers for rides, parades and music.\n7/4/17 4 July Fireworks and Symphony @ Lady Bird Lake",Sleeps 10 with balcony! 3BR 20min 2 DT Austin,https://www.airbnb.com/rooms/17015074?location=Coupland%2C%20TX
$29.00,1,Houston,September 2015,"This room is an easily converted living/bedroom with attached bathroom. Very quiet and peaceful room. Perfect location for US MLES students. Quick access to I-45, Hardy Toll Road and The Woodlands. 10 minutes to Bush IAH.",Cozy Convertible Room Near IAH,https://www.airbnb.com/rooms/11226306?location=Conroe%2C%20TX
$75.00,1,Denton,February 2016,"Enjoy a private room with your own dedicated entrance right into your room. You also have access to an unshared bathroom complete with a tub if you enjoy soaking baths!\n\nMy home is close to TWU, UNT and the Denton square where you'll find many choices for lunching and dining. Directly across the street is a mexican grocer that serves made to order tacos, aguas frescas, daily made salsas and snacks.\n\nThe neighborhood has lots of mature, tall trees, perfect for enjoying a walk.",Big room w/ private entrance and private bathroom,https://www.airbnb.com/rooms/14450478?location=Corinth%2C%20TX
$38.00,1,Irving,November 2016,"Our house is in a very quiet, nice and safe neighborhood. The DFW airport is just 15 minutes drive away. The DART 401 Bus Line is 10 minutes walk away. Restaurants and Parks are within walking distance. You will access to our kitchen as well.",Clean and safe place close to DFW Airport (Room 2),https://www.airbnb.com/rooms/16270089?location=Coppell%2C%20TX
$62.00,1,Irving,September 2015,"Want to lounge around in a 2,000 sq ft home? We have plenty of space to share. As our guest you'll have access to your very own bedroom with a full walk-in closet and dresser, private bathroom (with a tub), game room, free street parking, and a backyard.\n\nWe do have a 3 year old Husky-Border Collie mix, so hopefully you're not allergic to dogs!",Full Guest Bed In Large Townhome,https://www.airbnb.com/rooms/8936183?location=Coppell%2C%20TX
$40.00,1,Denton,June 2016,"We have 2 private rooms located close to The University of North Texas, Texas Woman's University, \nDowntown Denton, restaurants, and numerous family-friendly activities. Our home is great for couples, solo adventurers, business travelers, families (with kids), and furry friends (pets). Families can rent a second room for $50 total. This includes 2 single sized bunk beds, great for kids.\n\nPerfect location for those in town for college visits or attending one of Denton's many festivals.",Cozy rooms to rest at between adventures in Denton,https://www.airbnb.com/rooms/13709439?location=Corinth%2C%20TX
$150.00,1,Tomball,July 2016,"This place is ideal for those seeking personal rest, relaxation and reflection. Great location to re connect with nature. Situated on over 10 acres with parks and trails just outside of the front door. We also offer a variety of space for groups seeking time of reflection and study. Wonderful space to focus on personal growth, professional development, health and wellness, and creative expression.",The Woodlands Bed and Breakfast,https://www.airbnb.com/rooms/16144097?location=Conroe%2C%20TX
$286.00,3,Little Elm,July 2016,"This is a brand new vacation home that has never been lived in. Every drop of the interior is coastal themed. Enjoy the lake-view from the second story deck, or while eating breakfast or having Bubble Tea on the primary deck under the pergola. Little Elm Beach is a short walk away. You can play volleyball, rent canoes, or lay at the beach. From there the wake-board park is less than a half-mile away where you can also eat at Hula Hut. \n\n\nPool and golf course access granted upon request.",Lakefront Vacation Home near Frisco,https://www.airbnb.com/rooms/14266078?location=Corinth%2C%20TX
$49.00,1,San Antonio,June 2016,"7 miles from San Antonio airport. 2 bedrooms up to 2 members in each. One bathroom. Heated pool and hot tub. Full access to kitchen. .5 miles to sports bar and less than 20 minutes from River Walk and Alamo. Six Flags, Sea World and Missions with much more.",Large 4 Bedroom Home with Two Rooms Available.,https://www.airbnb.com/rooms/13369287?location=Converse%2C%20TX
$90.00,1,Montgomery,May 2014,"Beautiful, totally renovated 1896 historic home in downtown Montgomery. Stainless, granite kitchen, but tastefully surrounded by original floors. 13 foot ceilings with fabulous crown molding. House can be rented for events or whole families or each bedroom separately",1896 Historic Home / private rooms,https://www.airbnb.com/rooms/8294034?location=Conroe%2C%20TX
$197.00,4,Live Oak,November 2015,"You'll have the ultimate Texas getaway when you stay at this 4-bedroom, 3-bathroom Live Oak home, which sleeps 8. Choose this rental - featuring a game room, WiFi and large backyard - for a prime location close to San Antonio's endless attractions!",Spacious 4BR Live Oak House w/Yard,https://www.airbnb.com/rooms/10598176?location=Converse%2C%20TX
$37.00,1,Carrollton,April 2015,"I have a beautiful new house with artistic interior design! The futon bed is in my guest bedroom and it can be changed to a comfortable bed. You will have a private bathroom as well.\n\n-keyless entry \n-open kitchen, fridge storage \n-Your own bathroom\n-Parking\n-high-speed Internet\n-Beautiful park close by\n-4 miles from shops at legacy and 3 main highways\n-Safe, quiet neighborhood \n-I have a lovely cat, he is very friendly and quiet:) \n- I am a world traveler and would love to meet new people",Beautiful new house w/ artistic design,https://www.airbnb.com/rooms/18095339?location=Coppell%2C%20TX
$800.00,3,Coppell,March 2016,La mejor zona de Dallas a 15 min del aeropuerto hermosa y segura casa para las mejores vacaciones con familia o amigos.,"Lujo,Comodidad,Relax y Shopping!!!",https://www.airbnb.com/rooms/13570726?location=Coppell%2C%20TX
$150.00,1,Willis,August 2011,"Experience breathtaking sunrise views from the waterfront balcony overlooking Lake Conroe. Great place for vacations or to get away from the city hustle &amp; bustle and relax lakeside. Space consists of One private bedroom, in-suite private bathroom w/ jacuzzi tub &amp; King bed. Fully furnished kitchen to make your own meals, eat-in living room and full sleep lounger. You have all the comforts of home with a beautiful atmosphere &amp; relaxing ambiance.",Breathtaking Sunrise Lakefront View - 1BR/1B,https://www.airbnb.com/rooms/203573?location=Conroe%2C%20TX
$45.00,1,Irving,March 2012,"Country in City Feel. Lovely large comfortable room with Full size bed, great for 1 or 2 guests. Vanity w/ sink, mirror in the bedroom and full private bathroom w/ tub/shower attached. Easy access to all DFW area. 18 minutes to DFW or LOVE. \n",Quiet Serene Private Room & Bath ,https://www.airbnb.com/rooms/1583528?location=Coppell%2C%20TX
$188.00,3,Irving,May 2017,Two-story home (3000 square ft.) with natural light &amp; modern decor. Enclosed game room &amp; outdoor bar. Patio seating in a private back yard. Spacious parking with a two car garage. One king size bed with a memory foam mattress. One queen size bed with a memory foam mattress &amp; one full size klick Klak. Two queen size air mattresses are also available. This house is ideal for hosting get togethers and football pregame games. 15 minutes from downtown Dallas and 20 minutes from Downtown Fort Worth.,Conveniently Located Private Home,https://www.airbnb.com/rooms/18768777?location=Coppell%2C%20TX
$110.00,1,Dallas,October 2015,"Within walking distance of McKinney ave, Cedar Springs, Oak Lawn, AAC. 5 min from Love Field. Luxury pool, full kitchen, balcony, high speed internet, x-box, full cable package. See the best of Dallas without renting a car! 861 sq ft","Sunny, spacious 1 BR apt in Uptown",https://www.airbnb.com/rooms/8855442?location=Coppell%2C%20TX
$40.00,1,Irving,September 2016,"Welcome to our place, we are close to DFW Airport (10 mins) and Love Field (25 mins) Irving has many fine restaurants and dining, family-friendly activities, and nightlife. \nIrving is traversed by numerous highways. The Airport Freeway, TX- 183, Interstate 635 , Highway 114 and the President George Bush Turnpike, The Las Colinas area is centered near the intersection of 114 and the George Bush turnpike",Room of Fame,https://www.airbnb.com/rooms/17134344?location=Coppell%2C%20TX
$2500.00,4,houston,June 2015,"Rent this beautiful getaway for Super Bowl Week in Houston. \n2700 sqft home sits on 1.17 acre, in gated community. Home is equipped with large speakers and each room has it's own TV. WiFi and cable outdoor grilling and entertainment on property. No noise restriction and a gated community. Master Bedroom has a king sized bed.",Super Bowl Week Retreat 1.17 Acre Near IAH,https://www.airbnb.com/rooms/16844453?location=Conroe%2C%20TX
$43.00,1,Denton,November 2015,"Quaint sunny room, original hardwood floors , big picture window facing east, twin 4 poster metal canopy bed. Full size comfy couch, cute vanity acquired from the house of a professional football player with antique metal chair, tv &amp; walk in closet.",Somewhere in Time single bedroom,https://www.airbnb.com/rooms/12545830?location=Corinth%2C%20TX
$1000.00,3,Austin,September 2013,"Our home is spacious, comfortable, and just what you'll need! The kitchen, living room, and dining room are all spacious. There is even another living room area upstairs. The neighborhood is quiet and peaceful.",Formula 1 Weekend,https://www.airbnb.com/rooms/8956771?location=Coupland%2C%20TX
$26.00,1,Denton,February 2013,"Welcome to our Air BnB page! We are very excited to Welcome you into our home! We have a charming 3 bedrooms’ house in Denton Texas. Yes… we do have 3 DIFFERENT listings for each space accommodating up to 2 people/rental space! More than 1 room may be booked at the same time. Feel free to reserve all the rooms if you do not want to encounter others AirBnBers! We are laid back, fun, and outgoing people! We are located about 10 minutes from city center of Denton, UNT, and TWU.","Cozy Private Room in Little ""D""",https://www.airbnb.com/rooms/18043785?location=Corinth%2C%20TX
$180.00,1,Irving,September 2016,One bedroom apt on the lake..Wood floors and marble counter tops..Garden Tub with a balcony with view of fountain..Plenty of parking for guests..Property has 5 swimming pools..hot tubs..Convenient Store and Italian Restaurant on property..,Great place right on the lake..,https://www.airbnb.com/rooms/15042346?location=Coppell%2C%20TX
$125.00,1,Corpus Christi,December 2016,"Newly remodeled condo located on the beach. Close to the USS Lexington, Hurricane Alley water park, and many other family activities. Minutes from downtown Corpus Christi and many other family oriented activities.",Incredible Beach Condo 1240,https://www.airbnb.com/rooms/16531181?location=Corpus%20Christi%2C%20TX
$250.00,3,Corpus Christi,March 2017,"Getaway from it all at your cozy villa on the water! Sip coffee &amp; enjoy the sunrise off the back deck; be entertained by bird watching &amp; fish jumping in the canal. Spend time relaxing by yourself or an exciting time with friends! With water views from the master bedroom &amp; also the open living space, &amp; unique coastal décor and art, our spacious waterfront villa is perfect for your next visit to the coast! Features canal fishing, kayaking, boating, &amp; wildlife viewing from your back deck!",Relax & stay on the water! Welcome to Cabana East!,https://www.airbnb.com/rooms/17506252?location=Corpus%20Christi%2C%20TX
$57.00,1,Austin,May 2016,"Beautiful relaxing space! Tucked away in a Vibrant neighborhood minutes from great shopping and the Domain, 20 min to downtown. Loft bedroom with 1/2 bath sits atop great room area with master bath below. The space has a kitchenette similar to a hotel (microwave,coffee maker and mini fridge)",Modern loft style space,https://www.airbnb.com/rooms/18269575?location=Coupland%2C%20TX
$105.00,1,The Woodlands,January 2017,"Home sweet home!\n\nNewly furnished, upscale apartment in breathtaking lakeside setting, onsite gourmet restaurants, retail stores and Whole Foods market.\n\nOne king size bed, 2 sofa beds, complete kitchen and service area. Plus all the perks and amenities to feel at home: free covered parking, free Starbucks coffee, pet bathing center, fitness &amp; yoga studio and conference room.\n\nOnly 5 minutes from The Cynthia Woods Mitchell Pavilion &amp; Waterway Avenue.",Home on the Lake - At The Woodlands best location!,https://www.airbnb.com/rooms/18225893?location=Conroe%2C%20TX
$350.00,3,Montgomery,May 2012,"Split plan home with entire 3 bedroom 2.5 bath, kitchen downstairs for your use. Owners live upstairs. Downstairs has private entrance and French doors which open up directly to the lake. Extra boat slip so bring your boat. Gorgeous lake views and breathtaking sunrises!",New summer special rate!,https://www.airbnb.com/rooms/12866013?location=Conroe%2C%20TX
$25.00,1,San Antonio,May 2015,"o Queen size bed. The room is located on the second floor which will only be occupied by you. Therefore, privacy of the upstairs is at your disposal along with the second floor bathroom. The kitchen is fully equipped and ready to be shared for use.","Warming, peaceful and quiet room.",https://www.airbnb.com/rooms/16306732?location=Converse%2C%20TX
$88.00,2,DeSoto,January 2017,"You’ll love my place because of the comfy bed and the neighborhood. My place is good for couples, solo adventurers, and business travelers.",Beautiful quiet home,https://www.airbnb.com/rooms/16740512?location=Corsicana%2C%20TX
$85.00,1,Spring,May 2015,"The unit part of a triplex set in the middle of the property. It overlooks the orchard. Nicely appointed unit with wood floors and a unique style. Minuets from I-45 and The Woodlands, yet in the heart of the woods.",3 acre farm and orchard,https://www.airbnb.com/rooms/6627419?location=Conroe%2C%20TX
$37.00,1,Irving,November 2015,"My place is close to the airport, public transport, and the city center. You’ll love my place because of the neighborhood, the comfy bed, the coziness, the kitchen, and the light. My place is good for couples, solo adventurers, business travelers, and families (with kids).\nI am an experienced airbnb host. I enjoy meeting people from all walks of life and would be happy to make you as comfortable as possible. #FromHome",Home Away From Home,https://www.airbnb.com/rooms/15537000?location=Coppell%2C%20TX
$189.00,3,Carrollton,March 2016,"My place is a new house build in 2015 and is close to all major highways ( PGBT, 121, DNT, 635), Restaurants, shopping, entertainment. This home is perfect for an extended stay with three comfortable bedrooms, a office space, wifi, and plenty of empty closets for storing luggage, clothing, etc. My place is good for couples, business travelers, families (with kids), and big groups.\n\nAs a welcome gesture, I stock up the fridge with Milk, Bread and Eggs on the day of the check in.",Home Away from Home - Perfect Location,https://www.airbnb.com/rooms/14993696?location=Coppell%2C%20TX
$140.00,1,Dallas,October 2016,"Situated right behind the American Airlines center, this is a high end peaceful community in a walkable urban area. \nStep outside the front door to cheer on the Dallas Mavs, visit the Perot Museum, walk to Klyde Warren Park, or many of Dallas's best restaurants and bars within feet.",AA center/Katy trail/Uptown space!!,https://www.airbnb.com/rooms/15754775?location=Coppell%2C%20TX
$135.00,2,Carrollton,October 2016,"My place is good for couples, Families, solo adventurers, and business travelers.",A luxury modern home fused with southern comfort,https://www.airbnb.com/rooms/15411974?location=Coppell%2C%20TX
$60.00,1,Conroe,May 2016,Near mall and waterway,Woodlands apartment,https://www.airbnb.com/rooms/12844108?location=Conroe%2C%20TX
$75.00,1,San Antonio,August 2014,"Retreat for one or two guests--couple, buddies or business travelers. Street parking. Private entrance. Two single beds. Private bathroom. Refrigerator, microwave, electric kettle, table and chairs. Tea, coffee, water, fruit, breakfast bars, snacks and popcorn. \nOur Mahncke Park neighborhood is walking distance to botanical garden, restaurants, museum, parks, zoo. Good public transportation. Close to Pearl and downtown.\nWe have dogs &amp; cats who don't allow other animals to visit. (Sorry!)","Large upstairs guestroom, private bath& entrance",https://www.airbnb.com/rooms/13558426?location=Converse%2C%20TX
$139.00,3,San Antonio,February 2017,"This beautiful apartment is located in a green and quite area inside Alamo Heights of San Antonio, right behind the Botanical Gardens. Apartment is walking distance to the Zoo, Brackenridge Park, San Antonio Country Club and only 5 mins drive to Downtown. It is remodeled with wood and tile floors, ceiling fans in all rooms, custom all tile shower and custom tub/tile shower, granite counter tops with stainless steel under mount sinks. Outside there are fruit trees and lots of parking space",Beautiful Apt @ Botanical Gardens,https://www.airbnb.com/rooms/19494083?location=Converse%2C%20TX
$135.00,1,Corpus Christi,February 2013,"Quiet, clean and on the beach! Less than 2 minutes after you close the door you are on the beach!! Save time and money on your vacation or trip with this centrally located condo with too many activities to name within 10 minutes walking or driving.",Corpus Christi Beach Condo 3140,https://www.airbnb.com/rooms/5125981?location=Corpus%20Christi%2C%20TX
$50.00,1,Irving,September 2016,"Hi, I am renting my extra bedroom here. You will not get a hotel experience, but you will feel like your own home. I am a very easy going person and will try my best to give you the best airbnb experience. I am only 10 mins away from DFW airport. I have kept the description minimal so that your expectation is lower, but I promise you wont be disappointed. Come and explore. Ask me any questions or concerns. Thanks for looking.","Queen bed close to dfw, Irving",https://www.airbnb.com/rooms/17668140?location=Coppell%2C%20TX
$69.00,3,Round Rock,June 2014,"Lge 2-Story 5 BDR Corner Hse w/2 Car Garage, has 3 cool n comfortable, nicely furnished rms w/spacious Bath; ABP, short-term, min. 2 days; fully equipped; kitchen has new gourmet stove, microwave &amp; oven; fresh bedding &amp; pillows; WiFi &amp; Cable TV",Salamander BDR/Bath near Dell,https://www.airbnb.com/rooms/3376982?location=Coupland%2C%20TX
$70.00,3,DeSoto,June 2017,"Newly remodeled home in a quiet neighborhood with matured trees. Fresh paint, new light and plumbing fixtures, new handscraped wood laminate floor, 3cm premium granite with undercount sink. 12x16 air conditioned workshop and 10x13 shed, huge backyard",Brook Hollow,https://www.airbnb.com/rooms/19435682?location=Corsicana%2C%20TX
$35.00,1,Carrollton,March 2016,"We have a private room with futon and a tempurpedic mattress pad. There is a full bathroom across the hall. There is a microwave, mini fridge, coffee maker and WiFi. We have two super sweet cats too. We'd love to host you! Welcome!","Clean, Quiet and Cozy Room in Carrollton",https://www.airbnb.com/rooms/11601861?location=Coppell%2C%20TX
$35.00,1,Humble,June 2015,"Adventurers and those passing through welcome! My place is relaxed and the atmosphere is easygoing. Only 15-20 minutes from IAH. Happy to work out a pick up/drop off from airport. Dogs (and kids) are welcome to stay as well! They should list coffee under essentials but don't worry I've got you covered. \n\nHouse includes a backyard and near some trails, a neighborhood Walmart, and Starbucks. Easy access to 59 for exploring other areas of Houston.\n\n*Double listed for different availability","Near IAH...Dogs, coffee, and trails! (2)",https://www.airbnb.com/rooms/16596486?location=Conroe%2C%20TX
$30.00,1,San Antonio,July 2015,"I hope you’ll love my place because of the quiet ambiance and easy accessibility to San Antonio. My space is great for couples, solo adventurers, and business travelers. The location is only 20 minutes from beautiful Downtown San Antonio/River Walk. Enjoy your time in a private bed room and bath. Please be aware that I have one small dog, but he will not disturb you during your stay :) I look forward to meeting you!",Quaint Room and Bath,https://www.airbnb.com/rooms/13641005?location=Converse%2C%20TX
$197.00,1,Corpus Christi,June 2017,Honeymoon suite! This beautiful condo is perfect for a romantic getaway,Honeymoon Condo with an amazing view of CC Beach,https://www.airbnb.com/rooms/19415283?location=Corpus%20Christi%2C%20TX
$104.00,1,Corpus Christi,October 2014,"(June 16, 2017: Elevator is broken, stairwell access only for now. ) This is a no smoking, no pets condo. One bedroom/bath condo on North Beach within walking distance to the beach, restaurants, gift shop, pier fishing, kite/wind surfing, kayaking, boating, Texas State Aquarium, WWII USS Lexington aircraft carrier museum and plenty more across the harbor bridge. Villa Del Sol Condominiums are some old buildings and the salty air has been tuff on her, but the condo unit is well taken care of.",Ram's North Beach Condo by the Bay unit 2241,https://www.airbnb.com/rooms/4278137?location=Corpus%20Christi%2C%20TX
$40.00,1,Irving,August 2015,"Full size bed, AC, laundry, wifi, tv with DVD player, and walk in closet, located in a secure community.",Cozy bedroom in a gated community.,https://www.airbnb.com/rooms/7679089?location=Coppell%2C%20TX
$265.00,3,Port Aransas,December 2014,"The Rock-n-Roll is one of our 5 unique cabins located in Port Aransas, Tx just a block and a half from the beach. We have a large porch that connect all of our cabins with lots of seating area to enjoy the ocean breeze.\nVisit our website ~ 5 Dancing Dunes",Beach Cabin - The Rock-n-Roll,https://www.airbnb.com/rooms/5535694?location=Corpus%20Christi%2C%20TX
$65.00,1,Corsicana,February 2014,"Carefully restored 1880s Queen Anne home with all original molding, hardware and four fireplaces introduced by a wrap around porch and deep lawns. Furnished with a combination of antiques and works created at the 100 West International Residency for Artists and Writers, just eight blocks away in the historic downtown.",100W House in Carriage District,https://www.airbnb.com/rooms/18095517?location=Corsicana%2C%20TX
$65.00,1,Austin,October 2014,"My place is close to the brand new Domain shopping center, I-35, HEB grocery store, and Pflugerville/Round Rock. It is only 4 miles to The Domain and 11 miles to historic 6th Street in Downtown Austin. You’ll love my place because of the location and the ambiance. My place is good for couples, solo adventurers, and business travelers.",Private apartment in North Austin,https://www.airbnb.com/rooms/17509151?location=Coupland%2C%20TX
$197.00,Studio,Corpus Christi,June 2017,Beautiful condo right on the beach near everything. Walking distance to America's #1 aquarium,Great beachfront rental right on CC Beach,https://www.airbnb.com/rooms/19413359?location=Corpus%20Christi%2C%20TX
$180.00,3,Manor,September 2015,"The home is newly built with 3 guest bedrooms. The neighborhood is brand new and still building! A nice quiet getaway from the hustle and bustle of the city, however 20 minutes from downtown Austin by expressway and 20 away from the airport. Amenities include cable, internet, 2 car garage, washer and dryer.",Brand new Quaint Manor Home,https://www.airbnb.com/rooms/8164151?location=Coupland%2C%20TX
$65.00,1,Cedar Hill,May 2015,"Quiet neighborhood, include facilities like Internet (wired or wireless), Cable. Furnished kitchen, washer dryer.",Great room- new house! Cedar Hill 2,https://www.airbnb.com/rooms/6316862?location=Corsicana%2C%20TX
$120.00,3,Universal City,July 2014,"This charming 3bd 1bth home is close to major highways, dining, nightlife and shopping. Enjoy a full kitchen, sunroom, and all appliances. My place is good for couples, Travel Nurses, TDYers, short term military space, pilot in training, business travelers, families (with kids).\n3 blocks from RAFB\n5 mins from the Forum Shopping Center\n20 mins from FT. Sam\n25 mins from Downtown San Antonio/Zoo \n27mins from Schlitterbahn\n30mins from Fiesta Texas/La Cantera/The Rim",COZY COTTAGE STYLE 3/1 HOUSE W/ SUN ROOM,https://www.airbnb.com/rooms/3663668?location=Converse%2C%20TX
$55.00,1,Dallas,January 2017,"Sunny 950 sq ft eclectic space for book-lovers, academics, and artists. 1 queen bed, 1 twin bed couch (with TempurPedic topper), 1 hammock, 1 air mattress. A truly fabulous shower. 2 blocks from Katy Trail in the Oaklawn/Cedar Springs area. 10 minutes to American Airlines Center. 10 minutes to downtown. 15 minutes to SMU.\n\nI have a dog (not on the premises for your stay), but will have the house cleaned and all living room/bedroom/bathroom linens changed before you arrive.",Artsy Condo in Cedar Springs/Oaklawn,https://www.airbnb.com/rooms/17566310?location=Coppell%2C%20TX
$65.00,1,Spring,May 2016,"Our place is close to parks, golf courses, tennis courts, public pools, the mall, Market Street, community churches, The Woodlands Pavilion, bike trails, and is walking distance from grocery store, pharmacy and restaurants. \n\nHablamos Español",The Woodlands Private Bedroom Bilingual,https://www.airbnb.com/rooms/12999544?location=Conroe%2C%20TX
$36.00,1,Tomball,April 2013,Family home in a cul-de-sac street provides the privacy. Very close to H249 and toll 99 for easy exit to North and South,One story family home room,https://www.airbnb.com/rooms/17098614?location=Conroe%2C%20TX
$250.00,3,Round Rock,May 2015,"The perfect getaway! Whether you are a couple looking for a weekend retreat or a family needing room to stay and play, this beautifully updated home in Round Rock, Texas, is sure to leave you saying, \",Peaceful Oasis with Pool,https://www.airbnb.com/rooms/15254330?location=Coupland%2C%20TX
$199.00,1,Aubrey,August 2016,"Villa # 5 features a relaxing monochromatic decor, a King bed, pullout sofa &amp; loveseat, deluxe linens, private bath w/ walk in shower &amp; spa tub, kitchenette, &amp; breakfast area. Kitchenette incl. all dishes, grill tools etc. MAX OCCUPANCY 5. All Villas provide free Wifi, Cable TV, private coffee bar, toiletries, plush robes, private entrance, parking, and access to the tasting room within walking distance. Villa features adjoining door to Villa #4 if you opt to have friends or family stay nearby.",FORTUNATA VILLA # 5,https://www.airbnb.com/rooms/15633235?location=Corinth%2C%20TX
$78.00,1,Carrollton,January 2015,"Located 15 min. from DFW Airport, 10 min. from the Shops @ Legacy &amp; Grapevine Mall, you are at the heart of the action! Right off of Highway 121",Beautiful 2 Story Modern Home,https://www.airbnb.com/rooms/5027366?location=Coppell%2C%20TX
$95.00,1,Waxahachie,June 2016,"Only a 25 min commute from Downtown Dallas and right off I-35, but you will feel like you're in the country. A beautiful walking/biking/nature path is located just down the street as well as the the historic downtown square, parks, and restaurants.",Historic Victorian Farmhouse in Waxahachie,https://www.airbnb.com/rooms/13942124?location=Corsicana%2C%20TX
$42.00,1,Austin,April 2014,"Enjoy a peaceful stay hosted by an Airbnb Superhost in one of the most convenient areas of North Austin! 25-minute drive to Downtown &amp; minutes away from tech companies such as Dell, Amazon, Oracle, Apple, IBM, GM &amp; Samsung &amp; shopping/restaurants @ the Domain/Rock Rose as well as North St. David's Hospital. Whole Foods &amp; HEB grocery stores are also within a few minutes away.","Clean, Cute & Comfy in N Austin!",https://www.airbnb.com/rooms/4255787?location=Coupland%2C%20TX
$95.00,1,Forreston,October 2016,"You'll love the Back Door de Milagro, a Bed &amp; Breakfast located on a twenty-seven acre fruit farm. Our mission-style hacienda and wooded vistas make this the ideal get away even if for one night. The Back Door is good for couples, solo adventurers, and business travelers. We do private parties and dinners, as well.",Take a Break; Unplug at the BNB on Milagro Farms,https://www.airbnb.com/rooms/15544975?location=Corsicana%2C%20TX
$145.00,1,Canton,July 2016,"My place is close to Canton First Monday Trade Days Market, Golf Course, Purtis Creek State Park, Splash Kingdom Family Water Park, and four beautiful East Texas lakes. You’ll love my place because of the quiet, relaxing country setting, laid back ambiance, and beautiful red birds in the distance.",1 A Canton Texas First Monday Bed and Bath 4,https://www.airbnb.com/rooms/14126470?location=Corsicana%2C%20TX
$40.00,1,Pflugerville,April 2014,"House is located 3 miles east of I-35 in downtown Pflugerville right on Pflugerville Park. We are 16 miles from downtown Austin, with Park &amp; Ride Metro stations within 5 miles that will take you right to the convention center.",DownTown Pville Private Room & Bath,https://www.airbnb.com/rooms/3146524?location=Coupland%2C%20TX
$30.00,1,Manor,July 2016,"Hey! I'm a new home owner in the Austin area and looking to open my home to those who want to visit the city. The house is very spacious, great for couples and or solo adventurers. I do have a small friendly puppy who loves to play!",Home is where the ❤️ is......,https://www.airbnb.com/rooms/14161968?location=Coupland%2C%20TX
$200.00,2,Willis,July 2015,This is a beautiful 2/2 waterfront property. Great fishing right out your back door. Bring your boat or jetski.,Beautiful 2/2 Waterfront,https://www.airbnb.com/rooms/7617289?location=Conroe%2C%20TX
$38.00,1,Denton,May 2017,"2 mi. N. of TWU, 3 mi. from the City of Denton, downtown. Close to shopping, restaurants, coffee shops, Water Works, and schools. Walking distance to trails, parks, and public library. New carpet (5/23/2017). Queen-sized bed. Full bath may be private if no one is staying in the bedroom across the hall. The bathroom is the only room sharing a wall with this bedroom. I have 2 bedrooms available; the other a single bed ($25). Quiet neighborhood.",Queen bed; split floor plan; next to bath,https://www.airbnb.com/rooms/18993457?location=Corinth%2C%20TX
